path, package, class, tLOCs, assertions, tcmp
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYBoxAnnotationTest.java, org.jfree.chart.annotations, XYBoxAnnotationTest, 141, 21, 6.714285714285714
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYDrawableAnnotationTest.java, org.jfree.chart.annotations, XYDrawableAnnotationTest, 103, 18, 5.722222222222222
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYLineAnnotationTest.java, org.jfree.chart.annotations, XYLineAnnotationTest, 128, 33, 3.878787878787879
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYPolygonAnnotationTest.java, org.jfree.chart.annotations, XYPolygonAnnotationTest, 91, 17, 5.352941176470588
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYShapeAnnotationTest.java, org.jfree.chart.annotations, XYShapeAnnotationTest, 100, 17, 5.882352941176471
..\jfreechart\src\test\java\org\jfree\chart\annotations\XYTitleAnnotationTest.java, org.jfree.chart.annotations, XYTitleAnnotationTest, 88, 13, 6.769230769230769
..\jfreechart\src\test\java\org\jfree\chart\AreaChartTest.java, org.jfree.chart, AreaChartTest, 96, 8, 12.0
..\jfreechart\src\test\java\org\jfree\chart\axis\AxisTest.java, org.jfree.chart.axis, AxisTest, 165, 61, 2.7049180327868854
..\jfreechart\src\test\java\org\jfree\chart\axis\CategoryLabelPositionsTest.java, org.jfree.chart.axis, CategoryLabelPositionsTest, 114, 12, 9.5
..\jfreechart\src\test\java\org\jfree\chart\axis\DateAxisTest.java, org.jfree.chart.axis, DateAxisTest, 840, 203, 4.137931034482759
..\jfreechart\src\test\java\org\jfree\chart\axis\LogarithmicAxisTest.java, org.jfree.chart.axis, LogarithmicAxisTest, 124, 15, 8.266666666666667
..\jfreechart\src\test\java\org\jfree\chart\axis\LogAxisTest.java, org.jfree.chart.axis, LogAxisTest, 174, 35, 4.9714285714285715
..\jfreechart\src\test\java\org\jfree\chart\axis\NumberAxisTest.java, org.jfree.chart.axis, NumberAxisTest, 220, 61, 3.6065573770491803
..\jfreechart\src\test\java\org\jfree\chart\axis\PeriodAxisLabelInfoTest.java, org.jfree.chart.axis, PeriodAxisLabelInfoTest, 116, 26, 4.461538461538462
..\jfreechart\src\test\java\org\jfree\chart\axis\PeriodAxisTest.java, org.jfree.chart.axis, PeriodAxisTest implements AxisChangeListener, 180, 47, 3.8297872340425534
..\jfreechart\src\test\java\org\jfree\chart\axis\SubCategoryAxisTest.java, org.jfree.chart.axis, SubCategoryAxisTest, 78, 14, 5.571428571428571
..\jfreechart\src\test\java\org\jfree\chart\axis\TickUnitsTest.java, org.jfree.chart.axis, TickUnitsTest, 33, 6, 5.5
..\jfreechart\src\test\java\org\jfree\chart\axis\ValueAxisTest.java, org.jfree.chart.axis, ValueAxisTest, 139, 39, 3.5641025641025643
..\jfreechart\src\test\java\org\jfree\chart\BarChartTest.java, org.jfree.chart, BarChartTest, 93, 5, 18.6
..\jfreechart\src\test\java\org\jfree\chart\block\BlockBorderTest.java, org.jfree.chart.block, BlockBorderTest, 44, 8, 5.5
..\jfreechart\src\test\java\org\jfree\chart\block\BorderArrangementTest.java, org.jfree.chart.block, BorderArrangementTest, 522, 154, 3.3896103896103895
..\jfreechart\src\test\java\org\jfree\chart\block\GridArrangementTest.java, org.jfree.chart.block, GridArrangementTest, 176, 38, 4.631578947368421
..\jfreechart\src\test\java\org\jfree\chart\entity\CategoryItemEntityTest.java, org.jfree.chart.entity, CategoryItemEntityTest, 64, 11, 5.818181818181818
..\jfreechart\src\test\java\org\jfree\chart\entity\StandardEntityCollectionTest.java, org.jfree.chart.entity, StandardEntityCollectionTest, 52, 9, 5.777777777777778
..\jfreechart\src\test\java\org\jfree\chart\GanttChartTest.java, org.jfree.chart, GanttChartTest, 175, 3, 58.333333333333336
..\jfreechart\src\test\java\org\jfree\chart\imagemap\DynamicDriveToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, DynamicDriveToolTipTagFragmentGeneratorTest, 16, 3, 5.333333333333333
..\jfreechart\src\test\java\org\jfree\chart\imagemap\OverLIBToolTipTagFragmentGeneratorTest.java, org.jfree.chart.imagemap, OverLIBToolTipTagFragmentGeneratorTest, 16, 3, 5.333333333333333
..\jfreechart\src\test\java\org\jfree\chart\internal\ArgsTest.java, org.jfree.chart.internal, ArgsTest, 16, 3, 5.333333333333333
..\jfreechart\src\test\java\org\jfree\chart\internal\CloneUtilsTest.java, org.jfree.chart.internal, CloneUtilsTest, 30, 5, 6.0
..\jfreechart\src\test\java\org\jfree\chart\internal\HashUtilsTest.java, org.jfree.chart.internal, HashUtilsTest, 16, 2, 8.0
..\jfreechart\src\test\java\org\jfree\chart\internal\SerialUtilsTest.java, org.jfree.chart.internal, SerialUtilsTest, 72, 5, 14.4
..\jfreechart\src\test\java\org\jfree\chart\JFreeChartTest.java, org.jfree.chart, JFreeChartTest implements ChartChangeListener, 295, 50, 5.9
..\jfreechart\src\test\java\org\jfree\chart\labels\CustomXYItemLabelGeneratorTest.java, org.jfree.chart.labels, CustomXYItemLabelGeneratorTest, 39, 5, 7.8
..\jfreechart\src\test\java\org\jfree\chart\labels\IntervalCategoryToolTipGeneratorTest.java, org.jfree.chart.labels, IntervalCategoryToolTipGeneratorTest, 75, 14, 5.357142857142857
..\jfreechart\src\test\java\org\jfree\chart\labels\ItemLabelAnchorTest.java, org.jfree.chart.labels, ItemLabelAnchorTest, 17, 3, 5.666666666666667
..\jfreechart\src\test\java\org\jfree\chart\labels\ItemLabelPositionTest.java, org.jfree.chart.labels, ItemLabelPositionTest, 18, 3, 6.0
..\jfreechart\src\test\java\org\jfree\chart\labels\StandardCategorySeriesLabelGeneratorTest.java, org.jfree.chart.labels, StandardCategorySeriesLabelGeneratorTest, 65, 12, 5.416666666666667
..\jfreechart\src\test\java\org\jfree\chart\legend\LegendGraphicTest.java, org.jfree.chart.legend, LegendGraphicTest, 127, 41, 3.097560975609756
..\jfreechart\src\test\java\org\jfree\chart\LegendItemCollectionTest.java, org.jfree.chart, LegendItemCollectionTest, 56, 9, 6.222222222222222
..\jfreechart\src\test\java\org\jfree\chart\LegendItemTest.java, org.jfree.chart, LegendItemTest, 257, 46, 5.586956521739131
..\jfreechart\src\test\java\org\jfree\chart\LineChartTest.java, org.jfree.chart, LineChartTest, 89, 8, 11.125
..\jfreechart\src\test\java\org\jfree\chart\MeterChartTest.java, org.jfree.chart, MeterChartTest, 22, 0, Infinity
..\jfreechart\src\test\java\org\jfree\chart\PieChartTest.java, org.jfree.chart, PieChartTest, 38, 2, 19.0
..\jfreechart\src\test\java\org\jfree\chart\plot\CategoryPlotTest.java, org.jfree.chart.plot, CategoryPlotTest, 905, 220, 4.113636363636363
..\jfreechart\src\test\java\org\jfree\chart\plot\CombinedDomainCategoryPlotTest.java, org.jfree.chart.plot, CombinedDomainCategoryPlotTest implements ChartChangeListener, 161, 9, 17.88888888888889
..\jfreechart\src\test\java\org\jfree\chart\plot\CombinedDomainXYPlotTest.java, org.jfree.chart.plot, CombinedDomainXYPlotTest implements ChartChangeListener, 163, 10, 16.3
..\jfreechart\src\test\java\org\jfree\chart\plot\CombinedRangeCategoryPlotTest.java, org.jfree.chart.plot, CombinedRangeCategoryPlotTest implements ChartChangeListener, 161, 8, 20.125
..\jfreechart\src\test\java\org\jfree\chart\plot\CombinedRangeXYPlotTest.java, org.jfree.chart.plot, CombinedRangeXYPlotTest implements ChartChangeListener, 157, 9, 17.444444444444443
..\jfreechart\src\test\java\org\jfree\chart\plot\dial\DialPlotTest.java, org.jfree.chart.plot.dial, DialPlotTest implements PlotChangeListener, 172, 37, 4.648648648648648
