file,class,method,constructor,line,cbo,cboModified,fanin,fanout,wmc,rfc,loc,returnsQty,variablesQty,parametersQty,methodsInvokedQty,methodsInvokedLocalQty,methodsInvokedIndirectLocalQty,loopQty,comparisonsQty,tryCatchQty,parenthesizedExpsQty,stringLiteralsQty,numbersQty,assignmentsQty,mathOperationsQty,maxNestedBlocksQty,anonymousClassesQty,innerClassesQty,lambdasQty,uniqueWordsQty,modifiers,logStatementsQty,hasJavaDoc
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate/0,false,276,2,0,0,0,2,6,13,0,1,0,6,0,0,0,0,1,0,1,10,1,0,1,0,0,0,14,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testRemove/0,false,211,2,0,0,0,1,5,11,0,1,0,5,0,0,0,0,0,0,1,13,1,0,0,0,0,0,8,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAdditionOfDuplicateXValues/0,false,258,2,0,0,0,1,4,13,0,1,0,4,0,0,0,0,0,0,1,20,1,0,0,0,0,0,26,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testIndexOf3/0,false,198,2,0,0,0,1,3,8,0,1,0,3,0,0,0,0,0,0,1,10,1,0,0,0,0,0,18,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate/0,false,308,3,0,0,0,1,6,16,0,2,0,6,0,0,0,0,0,0,1,19,4,0,0,0,0,0,22,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAdd/0,false,364,2,0,0,0,1,4,17,0,1,0,4,0,0,0,0,0,0,1,28,1,0,0,0,0,0,19,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testDelete/0,false,523,2,0,0,0,1,10,17,0,1,0,10,0,0,0,0,0,0,1,23,1,0,0,0,0,0,9,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSerialization/0,false,157,3,1,0,1,1,3,6,0,2,0,3,0,0,0,0,0,0,1,2,2,0,0,0,0,0,11,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate2/0,false,331,2,0,0,0,1,5,13,0,1,0,5,0,0,0,0,0,0,1,20,1,0,0,0,0,0,22,1,0,true
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate2/0,false,295,2,0,0,0,1,4,8,0,1,0,4,0,0,0,0,0,0,1,10,1,0,0,0,0,0,12,1,0,true
