file,class,method,variable,usage
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate/0,e,0
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate/0,series,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testRemove/0,s1,8
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAdditionOfDuplicateXValues/0,s1,10
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testIndexOf3/0,s1,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate/0,series,10
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate/0,old,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAdd/0,series,14
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testDelete/0,s1,14
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSerialization/0,s1,3
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSerialization/0,s2,1
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate2/0,series,10
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdate2/0,series,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMaxX/0,s1,11
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMinY/0,s1,11
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning3/0,s1,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning3/0,s2,4
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testIndexOf2/0,s1,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testEquals/0,s1,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testEquals/0,s2,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testAddOrUpdate3/0,series,7
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testHashCode/0,s1,14
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testHashCode/0,s2,14
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount2/0,s1,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning2/0,s1,8
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning2/0,s2,4
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMaxY/0,s1,11
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testIndexOf/0,s1,7
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testGetMaxY2/0,series,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount/0,s1,8
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testSetMaximumItemCount3/0,s1,13
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdateByIndex3/0,s1,6
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning/0,s1,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testCloning/0,s2,3
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testRemove2/0,s1,17
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testToArray/0,s,5
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testToArray/0,array,15
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdateByIndex2/0,s1,13
C:\Users\stefa\Desktop\IFT3913\TP2\IFT3913_TP1\..\..\jfreechart\src\test\java\org\jfree\data\xy\XYSeriesTest.java,org.jfree.data.xy.XYSeriesTest,testUpdateByIndex/0,s1,17
