class, ncloc, cloc, dc, testMethodsLoc, numberOfMethods, numberOfTestMethods, numberOfFunctionalMethods, rfc, wmc, gitFileAge, gitTotCommits
org.jfree.chart.labels.StandardXYSeriesLabelGeneratorTest, 42, 78, 0.65, 40, 6, 6, 0, 11, 6, January/3/2022/6:42, 10
org.jfree.chart.labels.StandardPieToolTipGeneratorTest, 48, 80, 0.625, 46, 5, 5, 0, 12, 5, January/3/2022/6:42, 9
org.jfree.chart.axis.NumberTickUnitTest, 32, 59, 0.6483516483516484, 30, 4, 4, 0, 5, 4, January/3/2022/6:42, 6
org.jfree.chart.axis.StandardTickUnitSourceTest, 12, 51, 0.8095238095238095, 10, 2, 2, 0, 2, 2, January/3/2022/6:42, 7
org.jfree.chart.labels.StandardCategoryItemLabelGeneratorTest, 60, 97, 0.6178343949044586, 58, 7, 7, 0, 15, 7, January/3/2022/6:42, 10
org.jfree.chart.entity.StandardEntityCollectionTest, 33, 67, 0.67, 31, 3, 3, 0, 9, 3, January/3/2022/6:42, 8
org.jfree.chart.axis.CategoryLabelWidthTypeTest, 20, 56, 0.7368421052631579, 18, 3, 3, 0, 4, 3, January/3/2022/6:42, 6
org.jfree.chart.renderer.OutlierTest, 35, 63, 0.6428571428571429, 32, 4, 4, 0, 8, 4, January/3/2022/6:42, 4
org.jfree.chart.plot.compass.WindNeedleTest, 20, 55, 0.7333333333333333, 18, 3, 3, 0, 6, 3, January/3/2022/6:42, 3
org.jfree.chart.entity.FlowEntityTest, 36, 58, 0.6170212765957447, 34, 3, 3, 0, 7, 3, January/3/2022/6:42, 3
org.jfree.data.function.LineFunction2DTest, 27, 60, 0.6896551724137931, 24, 4, 4, 0, 6, 4, January/1/2022/2:44, 5
org.jfree.data.flow.NodeKeyTest, 28, 56, 0.6666666666666666, 26, 3, 3, 0, 7, 3, January/3/2022/6:42, 3
org.jfree.chart.block.FlowArrangementTest, 33, 67, 0.67, 31, 3, 3, 0, 4, 3, January/3/2022/6:42, 8
